Date : 2025-04-07 16:09:11
Directory : /home/lynx/dev/wallpaper_app/lib
Total : 58 files,  1995 codes, 109 comments, 304 blanks, all 2408 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         58 |      1,995 |        109 |        304 |      2,408 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |         58 |      1,995 |        109 |        304 |      2,408 |
| . (Files)                                                                                                          |          4 |         73 |          0 |         11 |         84 |
| core                                                                                                               |         24 |        644 |        109 |        153 |        906 |
| core/domain                                                                                                        |          1 |         31 |          0 |          4 |         35 |
| core/domain/entities                                                                                               |          1 |         31 |          0 |          4 |         35 |
| core/errors                                                                                                        |          1 |         51 |          0 |          7 |         58 |
| core/functions                                                                                                     |          1 |         16 |          0 |          2 |         18 |
| core/manager                                                                                                       |          4 |         34 |          0 |         17 |         51 |
| core/manager/cubit                                                                                                 |          2 |         14 |          0 |          8 |         22 |
| core/manager/navigation                                                                                            |          2 |         20 |          0 |          9 |         29 |
| core/models                                                                                                        |          1 |         11 |          0 |          4 |         15 |
| core/repos                                                                                                         |          2 |         41 |          0 |          7 |         48 |
| core/services                                                                                                      |          1 |         34 |          0 |         11 |         45 |
| core/utils                                                                                                         |          5 |        137 |        109 |         70 |        316 |
| core/views                                                                                                         |          1 |         10 |          0 |          2 |         12 |
| core/widgets                                                                                                       |          7 |        279 |          0 |         29 |        308 |
| features                                                                                                           |         30 |      1,278 |          0 |        140 |      1,418 |
| features/category_view                                                                                             |          5 |        136 |          0 |         20 |        156 |
| features/category_view/data                                                                                        |          1 |         23 |          0 |          4 |         27 |
| features/category_view/presentation                                                                                |          4 |        113 |          0 |         16 |        129 |
| features/category_view/presentation (Files)                                                                        |          1 |         10 |          0 |          3 |         13 |
| features/category_view/presentation/view                                                                           |          3 |        103 |          0 |         13 |        116 |
| features/category_view/presentation/view (Files)                                                                   |          1 |          9 |          0 |          3 |         12 |
| features/category_view/presentation/view/widgets                                                                   |          2 |         94 |          0 |         10 |        104 |
| features/favorite_view                                                                                             |          2 |         65 |          0 |          5 |         70 |
| features/favorite_view/presentation                                                                                |          2 |         65 |          0 |          5 |         70 |
| features/favorite_view/presentation (Files)                                                                        |          1 |          9 |          0 |          2 |         11 |
| features/favorite_view/presentation/widgets                                                                        |          1 |         56 |          0 |          3 |         59 |
| features/home_view                                                                                                 |         17 |        832 |          0 |         85 |        917 |
| features/home_view (Files)                                                                                         |          2 |         69 |          0 |          9 |         78 |
| features/home_view/data                                                                                            |          1 |          5 |          0 |          2 |          7 |
| features/home_view/data/Entities                                                                                   |          1 |          5 |          0 |          2 |          7 |
| features/home_view/presentation                                                                                    |         14 |        758 |          0 |         74 |        832 |
| features/home_view/presentation (Files)                                                                            |          1 |         16 |          0 |          2 |         18 |
| features/home_view/presentation/cubits                                                                             |          2 |         92 |          0 |         20 |        112 |
| features/home_view/presentation/cubits/catch_trending                                                              |          2 |         92 |          0 |         20 |        112 |
| features/home_view/presentation/widgets                                                                            |         11 |        650 |          0 |         52 |        702 |
| features/settings_view                                                                                             |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation                                                                                |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation/view                                                                           |          6 |        245 |          0 |         30 |        275 |
| features/settings_view/presentation/view (Files)                                                                   |          1 |          9 |          0 |          2 |         11 |
| features/settings_view/presentation/view/widgets                                                                   |          5 |        236 |          0 |         28 |        264 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/lynx/dev/wallpaper_app/lib/app_colors.dart                                                                   | Dart     |          6 |          0 |          2 |          8 |
| /home/lynx/dev/wallpaper_app/lib/consonants.dart                                                                   | Dart     |         14 |          0 |          2 |         16 |
| /home/lynx/dev/wallpaper_app/lib/core/domain/entities/bottom_navigation_bar_entity.dart                            | Dart     |         31 |          0 |          4 |         35 |
| /home/lynx/dev/wallpaper_app/lib/core/errors/faluire.dart                                                          | Dart     |         51 |          0 |          7 |         58 |
| /home/lynx/dev/wallpaper_app/lib/core/functions/on_generate_route.dart                                             | Dart     |         16 |          0 |          2 |         18 |
| /home/lynx/dev/wallpaper_app/lib/core/manager/cubit/shared_preferance_cubit.dart                                   | Dart     |          9 |          0 |          4 |         13 |
| /home/lynx/dev/wallpaper_app/lib/core/manager/cubit/shared_preferance_state.dart                                   | Dart     |          5 |          0 |          4 |          9 |
| /home/lynx/dev/wallpaper_app/lib/core/manager/navigation/navigation_cubit.dart                                     | Dart     |         15 |          0 |          5 |         20 |
| /home/lynx/dev/wallpaper_app/lib/core/manager/navigation/navigation_state.dart                                     | Dart     |          5 |          0 |          4 |          9 |
| /home/lynx/dev/wallpaper_app/lib/core/models/wallpaper_model.dart                                                  | Dart     |         11 |          0 |          4 |         15 |
| /home/lynx/dev/wallpaper_app/lib/core/repos/wallpapers_repo.dart                                                   | Dart     |          9 |          0 |          2 |         11 |
| /home/lynx/dev/wallpaper_app/lib/core/repos/wallpapers_repo_impl.dart                                              | Dart     |         32 |          0 |          5 |         37 |
| /home/lynx/dev/wallpaper_app/lib/core/services/shared_preferences_singleton.dart                                   | Dart     |         34 |          0 |         11 |         45 |
| /home/lynx/dev/wallpaper_app/lib/core/utils/api_service.dart                                                       | Dart     |         14 |          0 |          3 |         17 |
| /home/lynx/dev/wallpaper_app/lib/core/utils/app_images.dart                                                        | Dart     |         57 |        109 |         56 |        222 |
| /home/lynx/dev/wallpaper_app/lib/core/utils/app_text_styles.dart                                                   | Dart     |         39 |          0 |          2 |         41 |
| /home/lynx/dev/wallpaper_app/lib/core/utils/custom_bloc_observer.dart                                              | Dart     |         14 |          0 |          4 |         18 |
| /home/lynx/dev/wallpaper_app/lib/core/utils/get_it_service.dart                                                    | Dart     |         13 |          0 |          5 |         18 |
| /home/lynx/dev/wallpaper_app/lib/core/views/wallpaper_view.dart                                                    | Dart     |         10 |          0 |          2 |         12 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/active_item.dart                                                     | Dart     |         32 |          0 |          4 |         36 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/custom_nav_bar.dart                                                  | Dart     |         47 |          0 |          2 |         49 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/in_active_item.dart                                                  | Dart     |         10 |          0 |          3 |         13 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/navigation_bar_item.dart                                             | Dart     |         19 |          0 |          3 |         22 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/wallpaper_blur_image.dart                                            | Dart     |         35 |          0 |          7 |         42 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/wallpaper_feed.dart                                                  | Dart     |         65 |          0 |          3 |         68 |
| /home/lynx/dev/wallpaper_app/lib/core/widgets/wallpaper_view_body.dart                                             | Dart     |         71 |          0 |          7 |         78 |
| /home/lynx/dev/wallpaper_app/lib/features/category_view/data/image_category_model.dart                             | Dart     |         23 |          0 |          4 |         27 |
| /home/lynx/dev/wallpaper_app/lib/features/category_view/presentation/abstract_view.dart                            | Dart     |         10 |          0 |          3 |         13 |
| /home/lynx/dev/wallpaper_app/lib/features/category_view/presentation/view/category_view.dart                       | Dart     |          9 |          0 |          3 |         12 |
